Cheap Expensive
Big Small
Fast Slow
High Low
Safe Dangerous
Noisy Quiet
Exciting Boring
Hardworking Lazy
Clean Dirty
Cold Warm
Happy Unhappy
Beatiful Ugly
Important Unimportant
Easy Difficult
Same Different
Rich Poor
Short Long
Optimistic Pessimistic
Polite Rude
Shy Cosiable
Elegant Badly-Dressed
Young Adult
Reliable Unreliable
Smart Dumb
Below Above
Love Hate
Heavy Leight
Black White
Old New,Young
